subID,runNum,FD_mean,FD_max,FD_sd,0.3,0.4,0.5,0.6,0.9
32,2,0.126,0.493,0.055,3,1,0,0,0
32,3,0.152,0.795,0.09,15,6,5,2,0
32,4,0.134,0.378,0.059,6,0,0,0,0
33,1,0.152,0.49,0.071,10,3,0,0,0
33,2,0.139,0.361,0.06,3,0,0,0,0
33,3,0.146,0.523,0.077,11,3,1,0,0
33,4,0.13,0.394,0.066,6,0,0,0,0
34,1,0.228,2.043,0.275,44,29,22,17,10
34,2,0.161,0.762,0.079,6,5,4,2,0
34,3,0.179,0.778,0.097,18,7,6,4,0
34,4,0.196,1.174,0.111,30,9,3,2,2
35,1,0.133,0.334,0.044,2,0,0,0,0
35,2,0.124,1.122,0.095,11,6,2,2,1
35,3,0.145,1.025,0.088,12,4,3,1,1
35,4,0.157,1.085,0.133,24,13,10,7,2
36,1,0.093,0.501,0.043,1,1,1,0,0
36,2,0.105,0.65,0.073,8,4,2,2,0
36,3,0.107,0.686,0.085,12,8,2,2,0
36,4,0.085,0.575,0.055,3,1,1,0,0
37,1,0.109,0.966,0.082,6,5,2,2,1
37,2,0.105,0.54,0.063,5,5,2,0,0
37,3,0.111,0.613,0.068,6,4,1,1,0
37,4,0.122,0.623,0.08,12,6,2,1,0
38,1,0.087,0.3,0.035,1,0,0,0,0
38,2,0.086,0.288,0.036,0,0,0,0,0
38,3,0.091,0.337,0.045,1,0,0,0,0
38,4,0.1,0.302,0.049,1,0,0,0,0
39,1,0.089,0.508,0.052,3,2,1,0,0
39,2,0.075,0.424,0.038,1,1,0,0,0
39,3,0.083,0.554,0.071,10,5,1,0,0
39,4,0.084,0.598,0.062,5,3,2,0,0
40,1,0.122,0.478,0.066,8,2,0,0,0
40,2,0.127,0.978,0.113,20,10,7,4,2
40,3,0.125,0.604,0.088,20,4,1,1,0
40,4,0.148,0.785,0.114,31,13,6,2,0
41,1,0.06,0.276,0.029,0,0,0,0,0
41,2,0.094,0.434,0.053,4,1,0,0,0
41,3,0.104,0.456,0.06,7,3,0,0,0
41,4,0.125,1.29,0.142,17,13,10,6,3
42,1,0.079,0.369,0.045,2,0,0,0,0
42,2,0.218,3.255,0.378,47,32,26,20,14
42,3,0.073,0.43,0.06,1,1,0,0,0
42,4,0.271,3.216,0.415,66,55,44,36,19
